2025-05-04 19:21:55 {'id': '30j0oL1JjggxZmzMffNUSN', 'completed': 0, 'message': 'In queue'}
2025-05-04 19:21:55 {'id': '1hxbW2aQxmFSChaFeOeD5K', 'completed': 0, 'message': 'In queue'}
2025-05-04 19:21:55 {'id': '3jdYrqSwsLpj90d5vuqoGT', 'completed': 0, 'message': 'In queue'}
2025-05-04 19:21:55 {'id': '5SdGlLcazlJknmvAirfoi6', 'completed': 0, 'message': 'In queue'}
2025-05-04 19:21:55 {'id': '0d6ejWRow4vk6DnLqi6mHu', 'completed': 0, 'message': 'In queue'}
2025-05-04 19:21:55 {'id': '2ppwkqJRDKstWjydeTNvvU', 'completed': 0, 'message': 'In queue'}
2025-05-04 19:21:55 {'id': '3iSrxKrzDTkhfpIHCpNooU', 'completed': 0, 'message': 'In queue'}
2025-05-04 19:21:55 {'id': '2YnZugg0pdEkAtSHR4dwFo', 'completed': 0, 'message': 'In queue'}
2025-05-04 19:21:55 {'id': '42eZC1LaQ3qioZWVLisVT6', 'completed': 0, 'message': 'In queue'}
2025-05-04 19:21:55 {'id': '3GNEna2WyHtXk8ySqlp0Nl', 'completed': 0, 'message': 'In queue'}
2025-05-04 19:21:55 {'id': '0WRKPRS0Dz4YutOzBJzJNu', 'completed': 0, 'message': 'In queue'}
2025-05-04 19:21:55 {'id': '25Cv6pteVL6Wm4GIvPCFnO', 'completed': 0, 'message': 'In queue'}
2025-05-04 19:21:55 {'id': '2brodvxnVPmh04DCCTG3Sk', 'completed': 0, 'message': 'In queue'}
2025-05-04 19:21:55 {'id': '2nsKpEuwRqWoUncDCbh50T', 'completed': 0, 'message': 'In queue'}
2025-05-04 19:21:55 {'id': '30j0oL1JjggxZmzMffNUSN', 'completed': 0, 'total': 100, 'message': 'Processing'}
2025-05-04 19:21:55 {'id': '1hxbW2aQxmFSChaFeOeD5K', 'completed': 0, 'total': 100, 'message': 'Processing'}
2025-05-04 19:21:55 {'id': '3jdYrqSwsLpj90d5vuqoGT', 'completed': 0, 'total': 100, 'message': 'Processing'}
2025-05-04 19:21:55 {'id': '30j0oL1JjggxZmzMffNUSN', 'completed': 0, 'message': 'Searching lyrics'}
2025-05-04 19:21:55 {'id': '3jdYrqSwsLpj90d5vuqoGT', 'completed': 0, 'message': 'Searching lyrics'}
2025-05-04 19:21:55 {'id': '1hxbW2aQxmFSChaFeOeD5K', 'completed': 0, 'message': 'Searching lyrics'}
2025-05-04 19:21:55 {'id': '5SdGlLcazlJknmvAirfoi6', 'completed': 0, 'total': 100, 'message': 'Processing'}
2025-05-04 19:21:55 {'id': '0d6ejWRow4vk6DnLqi6mHu', 'completed': 0, 'total': 100, 'message': 'Processing'}
2025-05-04 19:21:55 {'id': '2ppwkqJRDKstWjydeTNvvU', 'completed': 0, 'total': 100, 'message': 'Processing'}
2025-05-04 19:21:55 {'id': '5SdGlLcazlJknmvAirfoi6', 'completed': 0, 'message': 'Searching lyrics'}
2025-05-04 19:21:55 {'id': '2ppwkqJRDKstWjydeTNvvU', 'completed': 0, 'message': 'Searching lyrics'}
2025-05-04 19:21:55 {'id': '0d6ejWRow4vk6DnLqi6mHu', 'completed': 0, 'message': 'Searching lyrics'}
2025-05-04 19:21:55 {'id': '3iSrxKrzDTkhfpIHCpNooU', 'completed': 0, 'total': 100, 'message': 'Processing'}
2025-05-04 19:21:55 {'id': '2YnZugg0pdEkAtSHR4dwFo', 'completed': 0, 'total': 100, 'message': 'Processing'}
2025-05-04 19:21:55 {'id': '2YnZugg0pdEkAtSHR4dwFo', 'completed': 0, 'message': 'Searching lyrics'}
2025-05-04 19:21:55 {'id': '3iSrxKrzDTkhfpIHCpNooU', 'completed': 0, 'message': 'Searching lyrics'}
2025-05-04 19:21:58 {'id': '5SdGlLcazlJknmvAirfoi6', 'completed': 0, 'message': 'Getting download URL'}
2025-05-04 19:21:58 {'id': '5SdGlLcazlJknmvAirfoi6', 'completed': 0, 'message': 'Searching in YouTubeMusic'}
2025-05-04 19:21:58 {'id': '30j0oL1JjggxZmzMffNUSN', 'completed': 0, 'message': 'Getting download URL'}
2025-05-04 19:21:58 {'id': '30j0oL1JjggxZmzMffNUSN', 'completed': 0, 'message': 'Searching in YouTubeMusic'}
2025-05-04 19:21:58 {'id': '1hxbW2aQxmFSChaFeOeD5K', 'completed': 0, 'message': 'Getting download URL'}
2025-05-04 19:21:58 {'id': '1hxbW2aQxmFSChaFeOeD5K', 'completed': 0, 'message': 'Searching in YouTubeMusic'}
2025-05-04 19:21:58 {'id': '0d6ejWRow4vk6DnLqi6mHu', 'completed': 0, 'message': 'Getting download URL'}
2025-05-04 19:21:58 {'id': '0d6ejWRow4vk6DnLqi6mHu', 'completed': 0, 'message': 'Searching in YouTubeMusic'}
2025-05-04 19:21:59 {'id': '3jdYrqSwsLpj90d5vuqoGT', 'completed': 0, 'message': 'Getting download URL'}
2025-05-04 19:21:59 {'id': '3jdYrqSwsLpj90d5vuqoGT', 'completed': 0, 'message': 'Searching in YouTubeMusic'}
2025-05-04 19:21:59 {'id': '3iSrxKrzDTkhfpIHCpNooU', 'completed': 0, 'message': 'Getting download URL'}
2025-05-04 19:21:59 {'id': '3iSrxKrzDTkhfpIHCpNooU', 'completed': 0, 'message': 'Searching in YouTubeMusic'}
2025-05-04 19:21:59 {'id': '2ppwkqJRDKstWjydeTNvvU', 'completed': 0, 'message': 'Getting download URL'}
2025-05-04 19:21:59 {'id': '2ppwkqJRDKstWjydeTNvvU', 'completed': 0, 'message': 'Searching in YouTubeMusic'}
2025-05-04 19:22:01 {'id': '2YnZugg0pdEkAtSHR4dwFo', 'completed': 0, 'message': 'Getting download URL'}
2025-05-04 19:22:01 {'id': '2YnZugg0pdEkAtSHR4dwFo', 'completed': 0, 'message': 'Searching in YouTubeMusic'}
2025-05-04 19:22:04 {'id': '5SdGlLcazlJknmvAirfoi6', 'completed': 0.013378317927364094, 'message': 'Downloading'}
2025-05-04 19:22:04 {'id': '5SdGlLcazlJknmvAirfoi6', 'completed': 0.04013495378209228, 'message': 'Downloading'}
2025-05-04 19:22:04 {'id': '5SdGlLcazlJknmvAirfoi6', 'completed': 0.09364822549154866, 'message': 'Downloading'}
2025-05-04 19:22:04 {'id': '5SdGlLcazlJknmvAirfoi6', 'completed': 0.20067476891046143, 'message': 'Downloading'}
2025-05-04 19:22:04 {'id': '5SdGlLcazlJknmvAirfoi6', 'completed': 0.41472785574828697, 'message': 'Downloading'}
2025-05-04 19:22:04 {'id': '5SdGlLcazlJknmvAirfoi6', 'completed': 0.842834029423938, 'message': 'Downloading'}
2025-05-04 19:22:04 {'id': '5SdGlLcazlJknmvAirfoi6', 'completed': 1.69904637677524, 'message': 'Downloading'}
2025-05-04 19:22:04 {'id': '5SdGlLcazlJknmvAirfoi6', 'completed': 3.4114710714778442, 'message': 'Downloading'}
2025-05-04 19:22:04 {'id': '5SdGlLcazlJknmvAirfoi6', 'completed': 6.836320460883052, 'message': 'Downloading'}
2025-05-04 19:22:05 {'id': '5SdGlLcazlJknmvAirfoi6', 'completed': 13.68601923969347, 'message': 'Downloading'}
2025-05-04 19:22:05 {'id': '1hxbW2aQxmFSChaFeOeD5K', 'completed': 0.017472047283727962, 'message': 'Downloading'}
